,review_text,majority_vote
23,"Terimakasih halodoc,, saya bisa konsultasi dan mendapatkan pengobatan trhadap keluhan saya. Dan di halodoc juga tersedia obat yang diresepkan dokter. Dokternya juga bukan sembarang dokter. Dokternya juga baik dan ramah. Trimakasih halodoc",HAPPINESS
24,Jelek banget apk nya sangat lemot udah 4x unistall sangat tdk membantu bikin emosi iya,ANGER
25,"Jelas, privasi terjaga, cepat, dan praktis rekomendeddddd untuk masyarakat Indonesia yg super sibuk",HAPPINESS
26,Sangat praktis dan membantu,HAPPINESS
27,"Pengiriman cepat,kumplit , penanganan nya juga cepat puas pake halo doc",HAPPINESS
28,memudahkan tanpa harus repot repot pergi ke rs,HAPPINESS
29,Ramah dan sopan,HAPPINESS
30,"Sangat membantu , di waktu hari libur, tidak bisa keluar sendiri.",HAPPINESS
31,"masak sy beli obt gk sesuai dengan di gambar (bungkus obatnya warna silver), tapi yg dikirim warna biru (harganya lebih murah) dan saya sdh punya dirumah, sdh komplain balasannya tidak masuk akal, katanya gambar hanya sampel, seharusnya pihak halodoc/apotik menelepon saya terlebih dahulu untuk menanyakan apakah saya mau atau tidak, sy marah sekali, orang dagang tidak boleh gitu!",ANGER
32,Aplikasi ini recomended banget,HAPPINESS
33,"ditulisan pesanan sudah dibatalkan tapi sampe sekarang dana tidak di refund. pas saya coba batalin pesana, tulisannya gagal. jelek banget jelek. uangnya ludes padahal bisa buat 2 hari makan. ditipu banget sama appnya",ANGER
34,Sangat membantu dapat konsultasi dengan nyaman dan jelas.,HAPPINESS
35,"Sempat muter-muter apotik di salah satu kota besar buat nebus resep obat dari dokter gak dapet-dapet katanya obat tersebut gak tersedia dan memang susah di cari. Alhamdulillah ada aplikasi halodoc yg mempermudah saya untuk cari obat tersebut, di kirim tepat waktu dan pengemasan aman, solusi tepat kesehatan tanpa ribet.. makasih halodoc",HAPPINESS
36,"pakai fwd dari kantor untuk sekeluarga, kalo butuh pisan ga sprti gatal gayal biduran yg susah kalo nunggu klinik buka, langsung pake halodoc dikasih obat paten Alhamdulillah sembuh. begitu jg untuk anak anak, anakku kena kuku jamur sore sore dan tanggal merah, halodoc solusi, chat/video langsung deh dikasih obat semoga sembuh atas izin dokter",HAPPINESS
37,Aku pasien nya dokter Astrid🤍aku suka pelayanan beliau dan Alhamdulillah cocok semua resep yg beliau kasih🥰,HAPPINESS
38,"sudah pembayaran untuk konsultasi dengan dokter mata, masih menunggu, tiba2 tertutup, kemudian masu masuk lagi untuk chat ke dr yang sama harus bayar ulang. sedihnya halodoc.",SADNESS
39,Tanggapan dokter responsif dan cepat Balasan chat juga cepat,HAPPINESS
40,"cepat , tanggap sigap mantap.. kode promo mohon agar bisa di gunakan..",HAPPINESS
41,Aplikasi yang sangat membantu sekali buat ibu2 yg susah cari waktu pergi langsung konsul ke dokter ..,HAPPINESS
42,halodoc ok banget,HAPPINESS
43,"Halodog ini knp sih tiap buka jadi error hp ku pdhl hape ku masih baru loh, servernya atau apany sih benerin napa, org lg mau order malah dibuat susah sama ni apk, heran",SADNESS
44,Baru kali ini pake halodoc saldo ke potong tp doktee nya gak respon sampe waktu chat habis di hubungin eror terus. Mnta pengembalian dana dong,SADNESS
45,Dokter spesialis mata dokter fera sangat responsif dan menjelaskan sangat detail Terima kasih,HAPPINESS
46,"Amat sangat membantu, terimakasih halodoc",HAPPINESS
47,sangat membantu untuk konsultasi urgen,HAPPINESS
48,"Alhamdulillah,pengirimannya cepat",HAPPINESS
49,"Halo doc ini rekanan asuransi ktr, sdah 2x pake, minta ampun dah ngurus admin nya berbelit2, pngalaman lg di IGD krna lakalantas di mintain ttd sama kronologi kjadian sampe 4x, bayangin aja pasien laka lantas lg meringis kesakitan hrs isi form smpai 4x, udh gt konfirm dri RS ke pihak halo doc dr jam 9 pagi bru slsai stegh 2, pke lg wat operasi ank, smpe2 bag. admin di RS blang ""mang gtu Pa halo doc lama, berbelit2"" Gak rekomend wat asuransi rekanan, d ktr bnyk komplen blon ada tdklanjutnya,PARAH",ANGER
50,Ramah dan sangat baik,HAPPINESS
51,"Pelayanannya bagus, dokter ramah dan penjelasan yang baik mempermudah saya mengerti permasalahan yg saya hadapi. Terimakasih",HAPPINESS
52,mantapp dokternyaaa,HAPPINESS
53,"Dokter nya selalu sibuk ketika sudah jam mulai konsultasi, jelek bangettttt",ANGER
54,Tidak berguna layaknya di harapan,SADNESS
55,"Nunggu obat lama dg alasan apotek baru buka, pembayaran terkonfirmasi tp masih harus nunggu lama",SADNESS
56,"Apliskasi ga jelas. Udah bayar buat konsultasi, pas pembayaran selesai malah dokternya sibuk. Pas dikeluarin malah harus chat ulang dan bayar lagi.",SADNESS
57,Dokternya ramah dan cpt responnya,HAPPINESS
58,Good... Proses sangat mudah dan pengiriman cepat,HAPPINESS
59,Sangat membantu yang sulit ke klinik,HAPPINESS
60,Halodoc sangat membatu,HAPPINESS
61,Sangat terbantu,HAPPINESS
62,Mantulll dechh ga ribet dan semua nya di permudah,HAPPINESS
63,Sangatembantu,HAPPINESS
64,Cuma minta informasi obat susah bener,SADNESS
65,"pelayanan baik,cepat respond juga",HAPPINESS
66,Simple & efisien,HAPPINESS
67,Mantap. Teman konsultasi bagi seorang introvert,HAPPINESS
68,Efisien sekali,HAPPINESS
69,Satset watwet,HAPPINESS
70,Kecewaaa.. Ingin chat dgn dokter dan sudah pembayaran malah dibatalkan.. . Dana jg blm kembali,SADNESS
71,"Baru aja download dengan niat chat dokter umum, transaksi udh di lakukan setatus doker online. Tapi setelah pembayaran berhasil gak bisa di chat dengan alasan dokternya sibuk dan harus cari dokter lain. Mengecewakan bngetttttttttt!!!",SADNESS
72,Good job. Saya senang atas konsultasinya,HAPPINESS
73,ahli,HAPPINESS
74,Dokternya ramah...detail menjelaskannya...fast respon...,HAPPINESS
75,Pelayanan pengiriman semakin buruk yg berharap jadi praktis simple jadi lamaa,SADNESS
76,"Luar biasa krn sya tdk perlu repot/ribet ga smpe 30mnit obat sdh bsa lgsung sya minum, thx halodoc",HAPPINESS
77,"Komunikatip ,Mudah, effesien dan biaya relatip terjangkau",HAPPINESS
78,Sangat membantu kaum SPT saya yg paling males k klinik/ke RS ..smga resepnya cocok.. terima kasih,HAPPINESS
79,"Konsul dgn dr Ibrahim Sp.P di halodoc sangat membantu sekali. Terus tingkatkan pelayanan online nya halodoc, dan semakin ditambah dokter-dokter seniornya🎗",HAPPINESS
80,"Tiba sesuai dengan waktu yang diperkirakan, tidak terlalu lama dan drivernya tidak bingung cari alamatnya",HAPPINESS
81,"Terimakasih bangettt, jadi penolong..",HAPPINESS
82,Aplikasi yang sangat membantu banyak orang❤️ dokter disini sangat berpengalaman dibidangnya ❤️dan sesuai dgn jobdesknya masing². Semua jenis obat tersedia lengkap. Fitur²nya sangat menarik terimakasih Hallo Doc. Sekarang konsultasi dgn dokter & beli obat bisa 24 jam kapan saja dimana saja.,HAPPINESS
83,Jelas dan akurat penjelasan dokter nya,HAPPINESS
84,"Aplikasi medis paling bodoh ini. Pesanan tidak jelas dari mana, titik pengiriman di app bergerak sendiri cari lokasi terdekat. Gila",ANGER
85,Aplikasi tolol mau sambungkan ke asuransi aja ribet banget kaya akun pinjol mesti foto ktp sama muka segala udah gitu gagal mulu kocak,ANGER
86,Dokter nya baik dan ramah,HAPPINESS
87,"Pengalaman pakai jasa dokter spkk di halodoc cukup membayar 57 ribu bisa konsul dengan berbagai dokter dalam waktu 30 menit. Saya kira hampir sama resepnya dengan dokter spkk yang saya temui. Hanya saja di halodoc sedikit buru2 dan sebagian pertanyaan belum terjawab karena chat langsung menutup setelah waktu selesai. Sementara waktu juga sedikit terbuang karena dokter bertanya berulang, juga memikirkan pertanyaan yg akan ditanyakan. Untuk biaya resep dan tebus obat dihalodoc sedikit mahal.",SADNESS
88,Banyak dokter yg berpengalaman disini,HAPPINESS
89,"Pelayanan sangat baik, dokter ramah",HAPPINESS
90,"sangat membantu untuk tindakan pertama kalau tidak bisa pergi ke klinik karena saya migrain susah bangun dari tempat tidur, belum lagi antri di klinik",HAPPINESS
91,"2x saya gagal konsultasi gara gara apk error karena saya tdl bisa mengirimkan foto, padahal saya sudah konsul yg ke 5x nya, bagaimana ini?",SADNESS
92,Pelayanan bagus dan cepat,HAPPINESS
93,"Apk yg sangat bermanfaat untuk kesehatan👍👍 Tapi saya mau nanya kenapa tidak ada pilihan pengiriman ya cmn ada reguler, sedangkan pernyataan ada 3 pilihan??",HAPPINESS
94,respon nya cepet,HAPPINESS
95,"Cukup bagus, beberapa dokter kurang bagus dan lainnya cukup / bahkan sangat bagus",HAPPINESS
96,"Saya kecawa untuk halodoc saat ini, saya konsultasi dengan dokter spa. dr. Rahman setiawan sp.a.. beliau tidak merespon dari awal sesi sampai berakhir otomatis, saldo pembayaran saya pun hilang bgitu saja tanpa saya mendapatkan hasil",SADNESS
97,"Saya sudah bayar, mau chat dokternya ko malah dokternya sibuk Uang udah kepotong, rugi bangett!!!",ANGER
98,Saat konsultasi dengan dr. Mina Sp.A sangat membantu sekali memberikan arahan obat yang jelas dan tepat . Terimakasih Dok !,HAPPINESS
99,selalu membantu saat darurat,HAPPINESS
100,sangat2 membantu,HAPPINESS
101,dokternya merespon dgn cepat,HAPPINESS
102,"Apaan ni aplikasi, beli obat sudah 4 hari kagak nyampe nyampe, janji tgl 10 Oktober 2023, ni udah tgl 11 Oktober 2023 belum juga ada kabar....kecewa kami jadi konsumen",SADNESS
103,maksi bngtt yg udh nyiapin halodoc jd membantu apa lagi saya introvert,HAPPINESS
104,"Pertama kali konsul halodoc,the best kata ku",HAPPINESS
105,Puas banget,HAPPINESS
106,"dokternya baru ngerespon 8 menit sebelum sesi berakhir wkwkwk, saat notif dari halodoc muncul sesinya udah berakhir.",SADNESS
107,Sangat membantu ditengah malam kepepet,HAPPINESS
108,Payah masak iya harus bayarrr setiap konsultasi haapuss,ANGER
109,Sangat membantu.fast respon 🙏👍🤩,HAPPINESS
110,Lega sekali,HAPPINESS
111,mantep,HAPPINESS
112,terbaik,HAPPINESS
113,Sumpaahhhh JANGAN PERNAH DOWNLOAD APLIKASI INI SEBELUM ANDA MENYESAL,ANGER
114,Dokter cepat blas dan tanggap sama keluhan kita.,HAPPINESS
115,"Kirain gratis, ternyata perbayar dan hanya untuk satu kali sesi pertanyaan, tidak bisa untuk konsultasi 1 hari. Kalo sesi pertanyaan sudah di akhiri, sudah tidak bisa bertnya lagi, kalo mau konsultasi harus bayar lagi untuk 1x sesi konsultasi😟",SADNESS
116,mantap respon cepat dan dokter nya baik dan sabar,HAPPINESS
117,"first time pake apk ini,belum tau sistem nya padahal mau konsultasi ternyata harus bayar.konsul doang yaillah mending kalo fast respon,ini berasa chat ama artis",ANGER
118,Solusi pertamaku 🫰🫰🫰🫰,HAPPINESS
119,"Parah! Tidak bisa pilih apotek. Obatnya kosong mau konsultasi lagi malah diblock, tdk bisa. Masak org sakit hr ini harus tggu besok pagi utk konsul ulang??",ANGER
120,Sangat membantu terutama untuk daerah yang sulit menemukan dokter spesialis,HAPPINESS
121,Konsultasi dengan dokter sangat membantu sekali,HAPPINESS
122,sangat membantu dan memudahkan disaat tidak bisa pergi ke klinik,HAPPINESS
123,bagussss,HAPPINESS
124,"Dokternya sangat ramah, sangat membantu sekali",HAPPINESS
125,"awal konsul ke dr spesialis anak memuaskan,tapi konsul kedua ke dr spesialis kulit dan kelamin sangat mengecewakan keluar uang tapi tidak dapat apa2,tidak direspon pdhal statusnya aktif, alangkah baiknya ada sesi ulang jika belum sempet ada respon dari dokternya",SADNESS
126,Amat membantu,HAPPINESS
127,"sip dah, sangat membantu",HAPPINESS
128,Terimakasih Dokter sangat membantu sekali.tdk ngantri dan ramah Dokter nya. The best buat Halodoc,HAPPINESS
129,"Dokternya cepat respon dan tanggap ,Terima kasih banyak dokter",HAPPINESS
130,Puas dapet dokter yg fast respon dan detail bgt jelasinnya,HAPPINESS
131,Besttt,HAPPINESS
132,sangat membantu,HAPPINESS
133,"Bingung, habis bayar dokter spesialis gabisa disambungkan dokter sibuk, Uda ganti ganti dokter tetap gak bisa tersambung, trus tiba"" duit hangus disuru bayar lagi ini gmn solusinya? Sy butuh cepat tolong",SADNESS
134,Aplikasi payah.. Obat kagak kekirim kirim dgn banyak alasan,ANGER
135,Respon cepet 👍👍👍,HAPPINESS
136,"Aplikasi lemot parah dan berat banget serasa buka aplikasi berat atau game berat , padahal di buka pakai device spek mumpuni dan koneksi internet stabil yg bisa memainkan game2 berat, dan order sangat2 lambat, tidak mendapatkan driver sama sekali, aplikasi tidak berguna",ANGER
137,praktis,HAPPINESS
138,Tidak jelas pengiriman sy pesan obat malah sdh seminggu lebih tdk update dan tidak sampai tanya admin pun tdk jelas jawaban nti balasan hubungin admin GK ada jawaban jelas sangat buruk aplikasi,SADNESS
139,"Ini ngisi saldo nya bgimana sih? Gak ada tutorial sama sekali. Gopay saya lg bermasalah, mau top up ke halodoc kok gak bisa. Tolong TUTORIAL nya,",SADNESS
140,Tiap berobat selalu tidak ada obat yg lengkap. Akhirnya tebus sendiri ke apotek. Kesel kerja 2 kali.,SADNESS
141,"mending fitur konsultasi gratis setelah beli paket acne itu dihapus deh, ga guna!! dokter slow respon smpe 3 hari ini blm ditanggapi oleh dokter padahal itu klaim gratis konsultasi karena beli paket acne dari halodoc ini. konsul juga di jam buka tapi sampe hari ini bhkn ga ditanggapi dokter bagaimana progres perawatan wajah saya, kalo emg ga bisa gratis dan lelet apus aja kebijakan ini. GA WORTH IT",ANGER
142,"respon lama, saran lama, keburu habis waktunya buat nunggu respon dokternya, endingnya g dpet saran apa apa, tlong dong merugikan bgt, sia sia jg",ANGER
143,"Sangat membantu, namun biyaya obat relatif mahal.",SADNESS
144,👍👍👍👍,HAPPINESS
145,"Berguna sekali apalagi ketika darurat. Pengalaman waktu covid 19, dan ketika tengah malam butuh chat dr.",HAPPINESS
146,"aplikasi sangat baik dan bermanfaat,mendukung,mudah mencari artikel yang di inginkan. untuk konsultasi ke dokternya juga baik dan ramah,serta baik dan mudah di pahami penjelasanya. dan untuk pemesanan melalui halodoc juga cepat aman dan pastinya 100% ORI. yaa ini masih pertama kalinya sih beli di halodoc,dan itu bener 100% datang dan ORI. sukses terus halodoc dan semoga menjadi aplikasi yang berguna buat yang lainnya juga..",HAPPINESS
147,🥰🥰🥰,HAPPINESS
148,"Hasil konsultasi dgn dokter, di beri 5 jenis obat. Saat beli/ditebus, ternyata obat harus di dapatkan dari 3 apotik yg berbeda dengan pengiriman yg berbeda pula (tiga biaya pengiriman). Saat di tanya ke CS Halodoc, jawabannya : pasien tidak dapat menentukan apotik yg melayani dan harus ikut sesuai sistem Halodoc. Saat obat di tebus ternyata ada 1 obat antibiotik yg baru akan di kirim setelah 3 hari penebusan (memangnya pasien yg sakit harus menunggu ???). Aneh sekali sistem aplikasi ini 👎👎👎",SADNESS
149,makasih banyak. lega dan mengena tanpa harus ke dokter offline yang antri.. sukses halodoc,HAPPINESS
150,Very good ramah dan jelas,HAPPINESS
151,Malem ini urgent nyari di halodoc ketemu dokter spesialis pelayanan cepat dan ramah,HAPPINESS
152,Gacor,HAPPINESS
153,"Apotek yg kerjasama di tempat saya jauh dan sering obat kosong, jadi tetap harus keluar beli obat lagi",SADNESS
154,Dokternya baik dan cepet respon,HAPPINESS
155,"Pelayanan baik , responsif juga dokternya terimakasih sudah sangat membantu 🙏",HAPPINESS
156,Alhamdulillah sangat membantu disaat urgent,HAPPINESS
157,mengecewakan dalam pemilihan apotek terdekat dan tidak on time,SADNESS
158,terimakasih sudah membantu,HAPPINESS
159,"Hadehhh di perhatiin dong ,jangan mentang mentang customer bayar pake asuransi, obatnya kalian mahalin, padahal beli diapotek murah, gila aja yang di apotek harga 100rb cuman berobat di halodoc obatnya jadi 700k, gila aja ngambil untung, Bad ,kecewa banget 👎👎",ANGER
160,"Obat ga sampai2 udah 5 hari, udah email telpon cs ga membantu sama sekali. Pelayanan buruk ga ada solusi.",ANGER
161,Terimakasih the best,HAPPINESS
162,Sangat membantu untuk saya yg tidak bisa ke dokter atau ke rs sendiri,HAPPINESS
163,"gua ngerelain duit makan gua buat konsul ke psikolog biar gua tenang, tapi malah dicuekin. lu makan noh duit haram",ANGER
164,"Sangat membantu aplikasi halodoc ini, obat yg diberikan Alhamdulillah selalu cocok. Anak saya juga sudah 2x konsultasi dgn dokter anak Andrew Limantoro & obat nya sama dgn dokter DSA di RS. Hanya utk pemesanan obat terkadang apotek yg mengirim cukup jauh dr rumah , tapi overall oke sih 👍",HAPPINESS
165,"Sangat membantu sekali apalagi disaat weekend, malam hari, dimana dokter spesialis & apotek pada tutup",HAPPINESS
166,"Aplikasi payah , pantesan gk laku. Pgn chat cs komplain masalah pengiriman aja gk bisa . Hapus aja lah apk gk guna 👎",ANGER
167,"Bagus sih, tapi susah nyari drivernya",SADNESS
168,mantap,HAPPINESS
169,Sangat terbantu ..dokternya sangat baik..,HAPPINESS
170,Aplikasi yang sangat membantu saya dalam menjaga kesehatan,HAPPINESS
171,Sangat bermanpaat,HAPPINESS
172,"Tolong dong untuk masalah halodok via gojek di perbaiki, jangan se'enaknya tarik hrga sendiri beda dengan apotiknya. Sya selaku driver sangat kecewa prihal halodok yg selalu bermaslah dengan harga. 🤬🤬🤬",ANGER
173,Sangat bagus,HAPPINESS
174,Membantu sekali kami yang sedang sakit,HAPPINESS
175,"lanjutkan..... bermanfaat ketika sakit, bisa via chat, telpon atau video call.",HAPPINESS
176,"Hati-hati dengan aplikasi ini, kasus terbaru saya chat dengan dokter semua dicover oleh asuransi tau-tau ada notif chat dokter tidak dicover dan muncul tagihan yang harus dibayar.. Ini sudah masuk ranah penipuan kepada pelanggan..!!!",ANGER
177,"baik sekali, begitu di chat langsung di respon",HAPPINESS
178,Tq dokt,HAPPINESS
179,Sangat membantu respon juga cepat. Terimakasih,HAPPINESS
180,"Saya udah bayar pilih dokter udah chat tapi ga di bales juga,Dr Kartika indah Adhita wlidha cory ini apa alikasinya atau dokternya bermental buruk,tolong jangan begini",ANGER
181,Dokternya mwmbaca chat dan membwri alternatif solusi.,HAPPINESS
182,selalu terbantu,HAPPINESS
183,"obat ngga dikirim udah semingguan, dibatalin ngga bjsa cs halodoc ngga bs dihubungi. Buset bgt",SADNESS
184,Aplikasi yang sangatlah membantu saya disaat malas untuk antri2 😁,HAPPINESS
185,Saat chat dengan dokter pesan nya gk muncul sama sekali sangat² buruk padahal kudu nabung dulu biar bisa Konsul alhasil cuma dapat kecewanya aja 😭😭 aku gk ikhlas 😭😭,SADNESS
186,Satset gak ribet antre dokter dll. Pengiriman juga cepat.,HAPPINESS
187,"gk jelas dokter nya,lama lama x bls nya",SADNESS
188,bagus konsultasi di halodoc,HAPPINESS
189,Beli obat jadi mudah,HAPPINESS
190,"Ngebantu banget,GK repot harus ke dokter,GK repot mesti ke apotik Ter the best halodoc😘😘",HAPPINESS
191,Sangat membantu sekali... Dokter nya juga cepat tanggap...baik dan ramah,HAPPINESS
192,"Udah bayar ,tp gak bisa chat sm dokter nya.. gak ikhlas saya buang buang duit percuma,hati hati kalau mau komsultasi di sini, nanti seperti saya uang gak ada, chat pun gak",ANGER
193,Sempet gagal tp uang kembali,SADNESS
194,Bis konsultasi kapan aja dan dimana aja,HAPPINESS
195,Dokternya slow respon dan pertanyannya di jawabnya Umum Skali kaya nanya obat vitamin di suruhnya berobat ke rumah sakit yaa EMG konsultasi kok jawabnya kaya gitu ya nggak usah tanya jenis obat kalo disuruh ke rumah sakit buat ke ahlinya mah,SADNESS
196,Kecewa sama pelayanan halosoc dlm handle keluhan customer ... bergerak dibidang human yg gesit donggghh,SADNESS
197,baik sekali pelayanan konsultasinya,HAPPINESS
198,Bagus sekali dan remendasi banget bagi yang sakit jauh dari darat,HAPPINESS
199,"Please kasih pilihan ganti kurir :( Langganan halodoc setiap keluarga sakit. Kurir Medex sangat tidak sopan dibandingkan gosend selama ini. Nggak papa agak mahal, yang penting sikap appropriate apalagi handling orang sakit.",SADNESS
200,Memudahkan semua,HAPPINESS
201,"Bagus untuk yang tidak bisa ke faskes, daftar harga obat juga lengkap",HAPPINESS
202,sukakkm,HAPPINESS
203,"Apotik udah pada tutup pesanan tetap di Terima akhirnya obat ga nyampe saya terus terusan ngejawabin driver baru malah jadi gabisa istirahat, anak jadi ga minum obat, di cancel sulit, malah menyusahkan",SADNESS
204,"Terimakasih Halodoc utk konsultasinya, dokter fast response dan biaya jg terjangkau ya",HAPPINESS
205,"baru kali ini kecewa pakai halodoc, respon dr lama sekali belum konsultasi apa2 sesi sudah keburu habis sama waktu. Sangat merugi 👎",SADNESS
206,Selama saya konsultasi di halo doc semua pelayanan nya begitu baik dokternya juga ramah,HAPPINESS
207,Mantull berobat dari rumah,HAPPINESS
208,Ok membantu sekali apalagi malam2 gini. . Dokter baik dan ramah. Makasih,HAPPINESS
209,"Kenapa sih tidak bisa pakai bpjs, pdhl kalau pakai bpjs bakalan gampang dan mudah Atau saya aja yg tidak tau bagaimana caranya konsultasi dengan dokter bayar pake bpjs Kalau emnk begitu ajarin dong Klo sudah ntar saya naikkin ratingnya",SADNESS
210,Sangat membantu & ramah dokternya,HAPPINESS
211,Bagus! tapi kenapa ya apotek yg disarankan jauh jauh banget. Kasian driver nya. Semoga meluas biar lebih dekat apotek nya.,SADNESS
212,"Sangat membantu, dokter nya juga ramah, thankyou 🫶",HAPPINESS
213,"Alamat susah dijangkau, minta alamat A tapi mapsnya ke wilayah C,",SADNESS
214,App ini sangat membantu dan bagus sekali,HAPPINESS
215,"Aplikasinya sangat buruk.. saya pesan obat di aplikasi ini, lewat estimasi tapi obat saya belum sampai.. Tidak ada nama toko, tidak ada kontak kurir, saya tidak tau harus menghubungi siapa.. tolong kembalikan uang saya.. aplikasinya sangat mengecewakan, penipu",ANGER
216,"Chat dengan dokter nya Tidak Bisa !! Krn kendala dr halodoc nya. Padahal saya udh bayar, saat mau chat dgn dokter nya, chat saya tidak masuk ke dokter nya. Saya chat dgn CS, katanya tunggu sampai 2 jam kedepan utk refund dana nya. Ehh, tiba2 udh berakhir aja sesi chat dgn dokter nya. Padahal belum konsultasi sama sekali !!! Di catatan dokter nya, pasien tidak konsultasi, gmn mau konsultasi?? Sementara chat dgn dokter nya ga masuk ! Penanganan dr CS halodoc nya jg lambat ! Tolong ya diperbaiki!",SADNESS
217,Barang bnyak kosong,SADNESS
218,"Sangat membantu sekali disaat sdg urgent,terima kasih holodoc",HAPPINESS
219,sangat membantu di saat tidak bisa ke mana²,HAPPINESS
220,Membantu banget ya.. buat kami yg tinggal dikota kecil yg ga ada banyak dokter spesialis kulit... Alhamdullilah anak saya cocok banget sama dokter yg ada dihallodoc... Thankyou yaaa,HAPPINESS
221,harga dokter tinggi kualitas konsultasi tinggi,HAPPINESS
222,dokter nyaaa baikkkk🫶🫶🫶,HAPPINESS
223,"Konsultasi di apk ini,setelah dokter minta keluhan saya sudah jelaskan dengan detail,tapi setelah itu dokter hilang kabar entah kemana sampai waktu sesi nya habis,tolong di perhatikan lagi 👎👎👎",SADNESS
224,Cepat konsultasinya,HAPPINESS
225,"Sangat membantu sekali dan proses sangat cepat,terimakasih sukses selalu",HAPPINESS
226,Fast respon 👍👍👍,HAPPINESS
227,Nyoba aplikasi ini sama aplikasi al**ok. Konsultasi apapun jawabannya pasti cuma saran2 yang di google pun udah ada. Sisanya di suruh datang ke dokter terdekat. Heraan buat apa bayar gaada jawaban tidak memuaskan.,SADNESS
228,Dokter spesialis penyakit dalam tp serasa dokter umum Bayar mahal2 tp tidak dpt terapi Mending konsul di google ajah Slow respon juga,SADNESS
229,"Sangat buruk bgt , masak transaksi sudah berhasil malah dokternya sibuk , trus dibatalin tertera kalo refund berhasil tpi gk ada masuk ke rekening. Tollong dong diperbaiki",SADNESS
230,"saya sudah bayar, dokternya sudah bilang kalo mau slr tapi malah slr parah bilang lagi sibuk, saya juga sibuk disempetin, belum diresepin udah berakhir no recomend banget, sia sia duit gua",ANGER
231,"dokternya ramah, serta aplikasinya sangat membantu sekali",HAPPINESS
232,"ini gimana dah konsep nya ? udah payment, nunggu Konsul 1 menit tbtb dokternya sibuk trs tau tau selesai padahal belum ngapa ngapain Konsul juga belum duit melayang gtuh aja",ANGER
233,terbaik.. beli obat cepat sampai,HAPPINESS
234,Aplikasi konsultasi kesehatan yang mudah dan informatif,HAPPINESS
235,Udah bayar. Dokternya malah gak bisa dihubungi katanya. Gimana siihhhh. Kalo uang saya kembali atau tu dokter nongol baru saya ganti ratingnya,SADNESS
236,"dokternya baik, menyenangkan konsultasinya",HAPPINESS
237,Enggak ribet 👌,HAPPINESS
238,Aplikasi yg sangt membantu Respon sangat cepat Terimakasih halodoc😊,HAPPINESS
239,Sangat membantu sekali jika Tidak bisa keluar dari Rumah karena sakit,HAPPINESS
240,Luar biasa.. aps yg sangat membantu d saat urgent.. dangke banyak yaa,HAPPINESS
241,Mudah di gunakan,HAPPINESS
242,jujur apk ini sangat membantu saya untuk penyembuhan jerawat. banyak sekali dokter yg baik. dan untuk orang mageran tapi bisa Konsul berbulan ini sangat membantu 🤍,HAPPINESS
