review_text,majority_vote
"Udah chat dokternya, tapi gk di jawab, alasan dokter sedang sibuk, mana saldo udah kepotong, ada notifikasi dana akan di kembalikan dalam waktu 3/5 hari, payah banget.",anger
obat yg diresepkan tidak ada dikota bandung percuma pakai asuransi. kalau resep obatnya tidak bisa digunakan. sudah berulangkali. aplikasi yg sangat mengecewakan.,sadness
TIDAK BERGUNA. TIDAK BISA BELI OBAT DENGAN ALASAN APOTIK TUTUP PADAHAL ADA APOTEK 24JAM SEKITAR SINI. BUAT APA KONSULTASI KE DOKTER DAN DIBERI RESEP DOKTER TAPI OBATNYA BARU DATANG BESOK! BUTUH SEKARANG DISURUH NUNGGU SAMPE BESOK!,anger
suka dengan kemudahannya,happiness
Admind chatnya fast respon,happiness
"Simple,Mudah dan Tinggal Tunggu,ga perlu ribet ke optik buat penyakit2 Ringan..Kerenn Dah Halodoc Luar Biasa",anger
"konsultasi tuh bayar. udh d jelasin dg sangat detail kondisi badan apa yg di derita. eh dokternya salah resepin, malah obat yg tidak boleh di resepin di masukin. untung saya feiliti. coba klo yg lain main cek out, apa gak makin parah penyakitnya. setelah saya komplain dg santai bilang sudah saya revisi gak ada omongan lain. klo gak saya cek y gak bakal di revisi",anger
Good Service,happiness
TOLONG PITUR NYA DI KEMBANGKAN,anger
aplikasi sangat membantu,happiness
Dr corry is the best,happiness
Ok sangat membantu,happiness
"dokter menjawab dgn baik dan bijak,,",happiness
Parah udah nunggu lama gak bisa d tracking pesanan pas liat udah dikembalikan karena penerima tak bisa ditelpon padahal gaka ada telpon sama sekali payah nih disaat darurat lagi,anger
"Masyaallah terbantu banget, kalo gapengen ke rs, bisa online. Terimakasih banyak halodoc",happiness
"Mencoba memesan tapi slalu dibatalkan, sampe akhirnya malah jadi tidak bisa dibatalkan, dan sudah 2 hari masih stuck di mencari driver, saldo pun blom balik karna blom bisa dicancel, bagaimana ini?",sadness
"Bu dokternya cantik, baik dan profesional dalam menanggapi permasalahan",happiness
"Haloblok. Sy gk bisa batalin pembelian minyak angin sm obat diare. Sy udh kembali ke kampung. Beli lewat gomed pake gopay, dn udah d bayar pulak. Smua alasan g bisa tuk batalin transaksi. Masa beli minyak angin doang sampe 4 hari. Sbelum pmbayaran hrusnya Ksih tau nyampe brp hri. Percuma 24 jm tpi gk bisa filter lokasi pembeli. Org btuh obat dgn cepat. Apalagi cuma minyak angin. Opsi ganti lokasi juga gak bisa d batalin. Sy merasa sangat d rugikan.",anger
Saya sangat kecewa sudah bayar untuk chat sama dokter malah nggak bisa,sadness
"Gak ribet, konsul pun lumayan cepet",anger
Efektif banget dan fast respon,happiness
Tidak bisa d akses,sadness
"Bagus,...",happiness
"sngt bruk, saldo udh kluar eh dkternya tdk bisa dichat. Kan pnipuan nmanya klau gni.",anger
"Kereeeen, sangat membantuu",happiness
"Konsultasi dgn dokter terlalu cepat, belum selesai saya konsultasi malah udah berakhir otomatis. Dan itu menyebalkan",sadness
"Terimakasih, saya sangat senang dan bisa mengerti, dokternya juga lumayan baik , jadi mudah Konsultasi nya disini",happiness
Not recommended,sadness
"Dari 2 Agustus 2020 saya bilangin aplikasi GoMed di Gojek error ga bisa buat beli, tetap aja di 2023 masalahnya sama😂 Install Halodoc mau lihat nomor resi malah di sensor dong resinya, gimana coba lacaknya??! Bodoh! Di Halodoc kualitas gambar thumbnail burik banget, buram di Full HD+. Bikin ragu obat apaan. Berapa kuantitas obatnya, apa komposisi obatnya, bentuk obatnya, kadang juga konflik dengan deskripsi. Kalau mau cari obat di search, konsumen yang harus kreatif dengan keywordnya.",anger
okee,happiness
"Tolong ya harganya ga usah dinaikkan gara-gara viral banyak yg konsul, malah makin di peres aja. Udah harganya naik terus jarang ada voucher. Mempersulit pasien untuk berobat",sadness
Bantul mantap betul,happiness
"Saat ingin melengkapi profil, field untuk mengisi nomor telpon tidak bisa dipencet",sadness
cara mudah berobat,happiness
"Sangat membantu sekali dikala kita sulit mencari obat tertentu, dg halodoc segalanya jadi mudah",sadness
responya baik dan lugas,happiness
Tidak bagus,sadness
"Padahal udah lama punya apk ini tapi baru dipake sekarang huhuhu gegara fyp mulu di reels ig buat ngobatin jerawat ternyata kumayan ampuh, masih progres nanti kalo udah sembuh bener-bner aku ulas ulang. Tapi bagus koq serius",happiness
"CHAT DI BATAS 30 MENIT TIDAK ADA RESPON APAPUN DARI DOKTER, Ga lagi deh pake aplikasi halodok, sangat kecewa buang buang uang :)",anger
Dokter Karlina spkk bestt,happiness
Sangat mahal biaya Konsul.. tidak cocok untuk orang tidak mampu,sadness
"JELEK BGT, buat aku yg baru aja nyoba app ini, gatau klo sesi konsultasi haloskin cm 30 menit, mn dokternya jawab lama dan aku udh jelasin permasalahan kulit ku di awal tp blm sempet di resepin obat, malah nanya ""mau diresepkan obat?"" ya jelas iya lah, gunanya aku pke app ya buat cari solusi, dmn solusinya bisa berupa resep obat!!! GILA",anger
The besttttt,happiness
"Dokter Ni Made IndahPuspasari' , Sp. DVE dokter yg humble dan ramah, meskipun lewat chat, dan responnya sangat cepat sekali, nice to meet you dokter. Terima kasih banyak",happiness
"Aplikasi sableng masa kirim obatnya jauh banget dari apotek yang deket2, bisa beda kecamatan, padahal posisi di kota malah kirim dr apotek kabupaten dan obatnya pun umum banyak ditemuin. Wkwkkwkw",anger
Good Job,happiness
"sangat membantu, proses juga cepet, ok bangeeet",happiness
Respon nya cepat,happiness
Susah dibuka aplikasi nya mau screenshot resep ga muncul gambar nya 70rb buat setengah jam aja ngobrol pun smaa dokter nya kaya gamau jawab Obat beli sendiri padahal,anger
mudah tepat dan cepat,happiness
Respon dokter cepat. Obat yg diberikan harga terjangkau.,happiness
konsultasi sangat mudah,happiness
Bermanfaat untuk Konsultasi kesehatan,happiness
"Semoga bisa membantu dan respon penanganan juga cepat, dan hasil dari diaganosa penyakit sesuai dan resep obat yg diberikan sehingga penyakit bisa hilang dan sembuh.",happiness
Sungguh sangat puas penjelasan dokternyq,happiness
Tipu tipu lah... Dapat voucher khusus mitra tapi ga bisa di pakai. 👎,anger
lumayan la cuma begitu di suruh merekomendasikan agak sedikit sulit,sadness
Cepat n jelas,happiness
Dokternya mantap. Diagnosanya pas. Resepnya good.,happiness
"Baru saja selesai konsultasi, walaupun respon dokternya agak lama tapi pertanyaan terjawab. Semoga membuahkan hasil. Saya tidak tahu, apa karena aplikasinya berat atau memang respon agak lama tapi memang agak susah (lama/lemot) saat mengoperasikannya.",sadness
baik sekali,happiness
sangat membantu❤️👍,happiness
Pelayanan dokternya bagus,happiness
Sangat membantu konsultasi sakit yg diderita thks,happiness
Sangat praktis dan cepat,happiness
"Mudah di gunakan,",happiness
"gak bgt konsul disini, gak enak, dokter nya kalo ditanya jwb singkat bgt bales lama",sadness
Sangat membantu dikala sakit dan tidak bisa pergi untuk membeli obat.,sadness
"Saya berdomisili Cilebut barat , dapet apotek daerah ciampea , pakai gosend 35 ment , aneh kenapa engga apotek terdekat , kasian Abang gojeknya kejauhan",sadness
jelek soalnya bayar,anger
"dokter dan bidan nya sangat ramah , penyampaian nya pun mudah dimengerti",happiness
Fast response..happy😇👌,happiness
cukup mudah dipahami,happiness
Senang bisa konsultasi dengan nyaman,happiness
"UI-nya jelek. ketika chat dgn dokter, keyboard menutupi jendela chat, jadi ga bisa melihat apa yg sedang diketik dan percakapan lainnya. belanja obat dari halodoc pengirimannya lambat, resi muncul tapi tidak bisa ditracking, expedisi menggunakan sh*pper.id resi tidak bisa ditracking.",anger
Dokter cepat dan tanggap,happiness
"Aplikasi gak guna,, dokter chatnya gak dibalas ,percuma uninstall aja",anger
Ramah dan cepat 👍,happiness
Saran solutif,happiness
"Sampah. Percuma kantor gw pake halodoc jd vendor. Ga informatif. Ada kurang dokumen, bukannya ngomong kek. Ga ditanya jg ga bkl ngomong.",anger
"Server eror terus, payah masa cekout obat ga bisa, trus buat apa??",anger
pernah pesen paket tp gabisa di batalin mau ubah alamatnya ngeselin banget,anger
Halo dok lg butuh uang apa gmn ya sy udh bayar konsul pas pesen obat sy udh bayar gknbisa dipesen uang hangus harus pesen ulang dan uang sy gk kembali ngecewain bgt,sadness
Kecewa dengan respon heidy yang merupakan sebutan customer care disini. Tidak edukatif dan tidak selayaknya CS.,sadness
kenapa ya setiap saya buka halodoc hp saya jadi error selalu forced close.. mungkin hp saya yg kentang :(,sadness
"Produk yang dikirim beda, hubungi cs maksimal 3x24jam. Setelah 5 hari diinfo produk sesuai, cek link ehh foto produk sudah diganti. Hmmm menyeramkan hal hal seperti ini. Uninstall langsung.",anger
"membantu di waktu yg tepat, mudah2an cocok dengan obat yg diresepkan dokter",happiness
"Cara berobat yg simple efektif dan efisien .. hemat ongkos, hemat waktu",happiness
"Bayar konsultasi psikolog, ternyata dokternya sibuk. Mau ganti dokter tiba tiba tidak bisa, lalu keluar dari laman dan status tertunda. kalau emang dokternya gak bisa kenapa status chatnya aktif? mau pengembalian dana juga gak bisa karena opsi chatnya gak bisa ditekan lagi sama sekali. tidak rekomen",anger
Tracking ojek di mapsnya selalu force close(hp redmi note 10s),anger
Kurir nya ramah thankyouu,happiness
"Dokternya ramah, sangat informatif, responsif",happiness
Alhamdulillah ada dokter spesialis online,happiness
"Membantu bgt, dokternya ramah, fast respon, terimakasih ya padahal jauh hehe🙏🏻✨✨🌸💗",happiness
Ongkir pesan obat makin mahal skrg 22rb ++ nya banyak jatuhnya 26rb mana lelet banget pengirimanya estimasi 1 jam bs ampe 2jam lebih..,sadness
"respon cepat ,super gercep bu dokter",happiness
mudah dan respon cepat,happiness
"Pembayarannya jangan gopay doang min,susah tempat saya",sadness
"Aplikasinya jelekkkkkkkkk banget , mau konsul doang susah banget keluar sendiri terus",anger
"Kalau bisa untuk sesi nya ditambahkan 45 mnt atau lebih mungkin. Karena kami sebagai pengguna merasa di rugikan jikalau sesi berakhir dan blum sempat menanyakan lebih terkait gejala""nya, mungkin bisa diambil contoh aplikasi sebelah Alodokter. Sesi berakhir lalu disuruh Konsul lanjutan dengan dokternya terus di suruh bayar lagi?, Tolong lah buat sesi 30 menit ini di tambahkan atau ngga belajar dari aplikasi sebelah. Di kritik untuk paling banyak masalah ini harusnya paham sih🙏🏻",anger
"Parah banget dr nya ga ramah bahkan ga respon aku udh bayar padahal, bener-bener mengecewakan aku sakit hati banget sih",anger
Sukaaa banget konsul disini tuhh fast respon,happiness
"Selama pengiriman pakai borzo gak pernah beres, Mendingan pakai medisend / gojek Karna borzo kita bayar mahal ke halodoc Ke borzo cuma kena 6rb jadi ngirimnya se enak dengkulnya...",sadness
Membantu dngn cepat,happiness
berobat lebih mudah,happiness
Membantu dan sangat berguna sekali,happiness
Sayang udah bayar dana udah ke potong nggak bisa konsul,sadness
"Dokternya ramah dan detail memaparkan penjelasannya terimakasih, Dok.",happiness
Beberapa dokter itu fast respon TPI beberapa engga :>,sadness
Senang punya aplikasi ini. Sangat membantu. Terimakasih Halodoc,happiness
lancar,happiness
Komplain lambat saat barang gak sesuai apa yg dipesan,sadness
efektif buat yg sibuk,happiness
"Aplikasi ngentottt ngabisin uang gw aja anjirr, DOKTER NYA GADA YG PEDULI BANGSATTT, dokter nya pada acuh tak acuh",anger
Terbantu,happiness
SAYA KECEWA CAHT SAYA TIDAK DI BALAS SAMPAI SESI HABIS DAN SAYA RUGIIIIIIIII SAYA BENCI HALODOC😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,sadness
Buruk.. pengiriman terlalu lamaaaa.. app lain sehari bisa sampai. Disuruh jangan stress appnya bikin orang stress,anger
Ramah dan menjawab semua prtanyaan dg baik,happiness
"Duit ilang dah pesan lewat GO-PAY, pakai instan juga 😡😡😡🤦‍♀️",anger
Membantu sekali kalau butuh obat tapi tidak bisa pergi ke apotek.,sadness
"dokternya ramah, dan menjelaskan secara detail terima kasih",happiness
"Saya butuh obat yang kebetulan stocknya agak susah didapatkan, tapi alhamdulillah berkat halodoc bisa terpenuhi",sadness
cukup m memuaskan semoga lebih d Tingkat kan lagi,happiness
pelayanannya gercep,happiness
"Harga obat lebih mahal dari pada apotek offline, terlalu banyak cari untung, saran ku buat apotek tersendiri khusus halodoc, jadi biaya yang di beban kan ke pembeli hanya ongkir saja",sadness
Lebih ringkas dan menjadi jelas diagnosa sakitnya. Trims halo dok,happiness
"saya konsul cmn di liat doang ga di bls sama sekali padahal saya bayar, gadapet penjelasan apa"" cmn dapet rugi doang!!!",anger
respon cepat,happiness
Bantu bgt,happiness
Penjelasan nya singkat tp mudah di mudah di mengerti,happiness
aplikasi yg membantu saat darurat ga bs ke apotik malam2,happiness
Baik membantu kami disaat kondisi blom mgkin datang ke dokter dgn halodoc bisa lgsung konsultasi dgn dokter yg baik dan profesional..terima kasih,happiness
"Mau beli obat flu sudah bayar chat dokter, sudah pula uang ditransfer via virtual account bca, pesanan batal uang katanya blm diterima padahal jelas dimutasi sdh terdebit Jauuuh lebih mudah beli obat pake grab Ribet Mahal dan mengecewakan Sudah kirim email screen capture bukti pembayaran dan telpon ke cs nya disuruh tunggu 24 jam ... lah lebih cepet saya beli sendiri ke apotek besok toh saya sendiri juga dokter, tapi karena malam hari jam setengah 8 pm maka saya pesan di halodoc...",sadness
"Merasa kena Tipu sudah bayar chat dokter tapi dokter nya sibuk, dikira bisa langsung Konsultasi",anger
Good .salam sehat sejahtera,happiness
"konsul ke dr kulit. sdh janjian, tp saya telat buka aplikasi slma 10 menit, dr nya lgsng selesaikan sesi konsul, padahal waktu konsul sdh dibayar utk 30 menit. wkwk sungguh perhitungan skli, bad experience👎",sadness
"cukup membantu,dokter dokternya informatif bgt😇",happiness
sangat membantu sekali bisa berkonsultasi dengan Dokter dan mendapat resep obatnya,happiness
Sangat membantu...sebelum ada pemeriksaan secara langsung oleh dokter,happiness
Sangat membantu disaat sedang kondisi berdinas dan kita sakit,happiness
Seneng banget,happiness
sangat membantu..... aplikasinya,happiness
Aplikasi yang amat sangat membantu banyak org. Terimakasih,happiness
Terpercaya,happiness
"Bangga bgt ada aplikasi halodoc, memudahkan kita pada saat butuh pertolongan 🥹🥹 , dr spesialis nyaa juga terbaik bgt, suami ku ke dr ambar sp.kulit gak pake ketemu cuma lewat tapi sampe saat ini obat nyaa cocok bgt dan gak kambuh lagi, alhamdulillah😍😍",happiness
Cepat Dan Sangat Membantu,happiness
Keren banget sih Halodoc ga ribet jga pembayarannya sukses selalu,anger
saya jadi tidak bisa konsultasi karna harus di update. sudah saya update tapi gabisa di update sudah saya coba berkali kali. gimana sih ni aplikasi,sadness
aplikasi buruk,anger
"sekarang dokternya kayak bot semua. cuma copas copas dari chatgpt dan google. apa yg sy baca dari chat dokternya, udh saya baca duluan dari chatgpt. enak bgt ya makan gaji buta tuh copas2 doang",anger
baru 1bulan Konsul masyaallah perubahan yg baik meskipun bertahap,happiness
good lahh,happiness
"pesanan gue ga dikirim kirim , ga guna .. aplikasi ga guna",anger
"Bagus banget apk nya,, membantu banget",happiness
Saya terbantu sekali trimakasi halodoc,happiness
"Aplikasinya jelek, sudah melakukan pembayaran tapi dokternya tidak bisa di hubungi padahal lagi online. Di suruh tunggu beberapa menit tpi di tunggu sampe sekarang gak ada kabar sama sekali. Ini sama saja dengan penipuan",anger
Sangat puas dengan pelayanan dokter di halo doc,happiness
"Sangat memudahkan untuk ibu"" yang parnoan",happiness
"Aplikasi scam ini. Buat yg mau ke dokter spesialis kejiwaan, mending lo nabung dikit lagi biar bisa berobat offline, gapapa mahal asal pasti bisa ditebus obatnya. Ngeyel juga, NANTI NYESEL, serius. Konsultasi sama psikiater 50ribu, tapi obatnya ga bisa ditebus, baik dengan cara klik ""cek harga"" maupun diupload manual di aplikasi. Udah nanya kemana², hasil nihil. Sumpah ga berguna banget. Niat biar ga sakit lagi tapi malah jadi makin kumat sakit saya gara gara pelayanan aplikasi ini SAMPAH!!!!",sadness
Sengaja daftar vaksin di halodok biar cepet. Dibilang datang 30 menit lebih awal Pas sampe puskemas kebayoran lama tetep harus antri. Nunggu 2 jam ngaret bener. Emangnya pihak halodok sama puskesnya gak kordinasi lagi. Terus ngapain daftar di app halodok kalo ujungnya ujungnya harus antri juga sama yg gak daftar di aplikasi.,anger
"Pertama transaksi, dibatalkan sepihak oleh aplikasi. Dana dikembalikan sebagai saldo halodok. Transaksi lagi, beli bio vision dikirim bisolvon.",anger
Dokternya detail penjelasannya mudah dimengerti,happiness
Benar benar bisa diandalkan saat situasi genting,happiness
Sangat membantu saat dibutuhkan..good job,happiness
"Satu sih saran aku, apknya udah bagus tapi di harapkan dokternya tetap stay selama stngah jam konsulnya pasien agar waktu yang di beli pasien tidak terbuang percuma.",anger
Sangat membantu dalam masalah kesehatan jika tidak sempat ke praktek dokter. Pelayanan dari dokter di halodoc sangat baik dan ramah. Dokternya bisa kita pilih mana yang cocok. Terima Kasih.,happiness
Sangat membantu dengan harga terjangkau,happiness
membantu aku banget dalam menangani jerawat ringan dikedua pipiku <3,happiness
"Terimakasih halodoc,sangat membantu",happiness
Status dokter online begitu sudah bayar dokter langsung offline. Parah bgt pengembalian dana pun tidak jelas.,anger
"Aplikasi nya jelek, saya mau konsul ke dr. Urologi. Pas saya bayar dokter nya masih online, setelah saya bayar dan mau masuk ke room konsultasinya gak bisa. Beberapa menit kemudian baru bisa masuk, tpi sesi konsultasi sudah diakhiri. Dan dokternya langsung offline Saya sudah buat laporan beberapa hari yg lalu tpi sampe skrg tidak ada penyelesaian, adminnya bertele tele Setelah saya liat ulasan disini ternyta banyak mengalami hal yg sama. aplikasi pemberi layanan kesehatan kok jdi penipuan",anger
Sering saya konsul dengan dokter ini.alhamdulilah dlcocok,happiness
"Sangat membantu sekali😊pelayanan nya jga luar biasa,dokternya jga ramah2 sekali😊",happiness
"Konsul dengan dokter M.Ridwan hakiki enak bgt sama tepat diagnosa,sehingga saya sembuh. Serta sehat walafiat thank you",happiness
Alhamdulilah membantu di kala hujan tidak bisa keluar kondisi sakit membantu sekali,sadness
Pelayanan cepet respon,happiness
aplikasi busuj login aja kagabisa,anger
pelayanan memuaskan,happiness
"bagus sih, tapi ada bberapa dokter yg slow respon bangett, bahkan disitu tertulis ""online"" tapi balas chat nya singkat2 banget dan pertanyaan saya ga dijawab dan kaya memperlambat waktu dan keburu habis deh sesinya, padahal saya berharap pertanyaan saya dijawab semua, tapi gpp si ga semua dokter kaya gitu, tapi stelah saya bberapa kali konsul dr yg saya temuin gitu trs😫😫",sadness
"Sangaaaaaat buruk pelayanan nya obat gue sts nya terkirim padahal w g terima coba tlp ke cs tp malah d suruh nuggu, tlp kurir malah kurir nya marah2, bener² aplikasi tolol,, pahal ongkir mahal tp pelayanan kurir dan hallodoc sangaaaaat amat buruk",anger
Baik dan dokter nya ada yang juta ada yang ramah,happiness
"Memberikan solusi yang terbaik jadi klo nyari obat yang susah banget jarang ada di apotik ga perlu repot2 datang ke apotik sendiri. Pakai halodok paketan obatmu bisa di antar kerumah dan kalau obatmu membutuhkan resep yang khusus dapat konsultasi gratis lho dengan dokternya. Lega...rasanya,,pikiran tenang tinggal duduk manis di rumah sampai nunggu obat datang,,hehehe. Terima kasih halodoc saya pelanggan setia anda ketika orangtua saya sakit selalu konsultasi ke halodoc dan beli obat disini.",anger
"Praktis, terpercaya dan sangat membantu",happiness
cuman kurang puas sesinya cuman 30 menit,sadness
sip mantap is the best,happiness
"tgl 13 november jam siang DOKTERNYA CEWE ,DI KETERANGAN UDH BEKERJA 9thn , aku konsul sm dokter ,sudah bayar tapi respon lama ,padahal tinggal di bagian kirim resep tapi di lama"" in dengan alasan katanya dokter aplikasinya jelek,ngga tau nih biar konsulnya makin lama atau gimna jujur kecewa sih gara"" ini jadi konsulnya 2x karna konsul pertama resep gk di kirim"" mana on tapi bls lama.NOT REKOMEN !!!! mungkin aplikasi & dokternya dh bekerja sama ,hal"" kek gini jdi bikin mls . cukup sekali.PERCUMA",anger
Pelayanan bagus,happiness
"Mantap jelas, wktunya perlu ditambah",happiness
bagus ramah sekali dokternya,happiness
"Respon cepat,, semoga bsa lebih merambah kesemua tempat utk RS, apotek dan pengiriman",happiness
"Sudah konsultasi dokter, tapi resep digitalnya tidak bisa ditebus, buang buang duit sajaa",anger
sangat membantu sekali,happiness
Sangat banyak membantu saya saat tidak bisa antri di rs atau klinik,sadness
pengalaman pertama ketika memakai aplikasi ini pesanan obat untuk ibu saya langsung dibatalkan padahal obat itu sangat diperlukan tanpa ada notifikasi pemberitahuan sampai saya mengecek di aplikasi kalo pesanan obat sayq dibatalkan sangat mengecewakan cukup sekali memakai aplikasi ini terima kasih,anger
Informatif dan mengedukasi kami yang minim pengetahuan tentang penyakit dan kesehatan,happiness
MANA SAYA TAU BIAR BISA DI CALL DRIVER SAYA HARUS DAFTARKAN NOMOR SAYA DI GOJEK. SAYA CUMA MAU PESAN OBAT DAN DIANTAR. HARUSNYA APLIKASI INI BISA SHARE NOMOR YANG SAYA PAKAI KE DRIVER. AGAR DRIVER BISA MENGHUBUNGI SAYA. APLIKASI BODOH,anger
Sangat membantu sekali.,happiness
"Sangat memudahkan kita yang mau berobat, apalagi yang tinggal sendirian.",happiness
"sangat kecewa karena menirim obat salep anak tanpa segel ataupun segel. sangat"" kecewa !!!!!!!!",sadness
Pelayanan cepat sangat baik,happiness
"Sangat payah,mau pesan ibat diarahkan chat dokter,setelah di room chat dr smp wkt habis blm ada respon dr,alhasil tdk bs beli obatnya,merepotkan dan menyusahkan konsumen",anger
"Udah nunggu lama, konsul waktu nya sebentar, nanya resep obat malah ngilang, udah bayar juga, mending langsung ke dokter terdekat aja. Buruk ini aplikasi",anger
Pertama x konsul.. resep obat yg di kasih lagi berjalan beberapa hari pemakean.gk tau ini proses purging jrawat pada mateng+mucul lebih banyak.semoga cocok dan permbersihan ya Dok🙏🏻,happiness
"Sangat membantu, terima kasih.👍👍🙏🙏",happiness
Terima kasih semoga saya bisa sehat lagi....sangat membantu pekerja seperti saya ...tidak memakan waktu,happiness
sesi chat terlalu cepat berakhir,sadness
sippp,happiness
"mudah banget dari daftar,Konsul, pembayaran resep. semuanya tersedia tanpa ribet",happiness
membantu sekali disaat tidak bisa ke rumah sakit tetapi tetap bisa melakukan konsul dan mendapatan pengobatan dari rumah,sadness
"awalawal sangat membantu, tapi kali ini bener2 kecewa dengan halodoc, belum sempat diagnosa keluhan sesi konsultasi telah beakhir padahal kesalahan ada pada dokter yang tidak merespon tapi saya sudah terlanjut bayar dan berakhir sia - sia",sadness
Menunya simpel bagus,happiness
Sangat membantu ketika susah nyari obat di apotik,sadness
Sangat membantu dalam keadaan darurat pun terima kasih hallo dok,happiness
Sangat memuaskan dan membatu,happiness
Solusi d saat tidak bisa langsung kontrol ke RS,sadness
"Awal nya bagus, tapi setelah di peebarui malah bikin pusing fiturnya, mana kalender mestruasi nya hilang kan ga bisa cek prediksi",sadness
"Saya kasih 2 bintang aja, aplikasinya bagus, mudah di pakai, cuma dokter dokternya jawabannya meragukan, Misal aku tanya ""apakah DE ada hubungannya dengan jantung tidak sehat?"" Jawabannya ""TIDAK"" padahal kecerdasan buatan GOOGLE bilang itu ada hubungannya. Google kan menyampaikan fakta yang ada di peramban mereka, kecewa sih.. mungkin harus pilih dokter yang lain, tapi kan boros",sadness
"Terima kasih, sangat membantu",happiness
"Sangat membantu untuk sakit ringan, konsultasi awal untuk bisa jadi Rujukan baiknya kemana",happiness
"loading nya lama anjir, apk yg lain lancar tiba yg ini lama",sadness
"Buruk, chat tidak dibalas sampai waktu konsul habis, parah",anger
"gercep bangettt, memudahkan konsul",happiness
gercep,happiness
Bagus,happiness
"gajelas anjir gua 2 kali loh pake halodoc responya lama bgt dan ga membantu apapun sama sekali keburu keabisan waktu. tolong dong kasih rating bintang 1 sampe 5 buat dokternya biar sebelum konsul kita bisa liat ratingnya dulu . buang duit doang gue pake aplikasi ini,dokterny pd makan gaji buta.",anger
Layanan nya garcep sangat membantu sekali .. terimakasi halodoc,happiness
"Nih klo obat ga sampe"" tp di pemberitahuan apk uda diterima itu gimana? Tolonglahh antara apk, kurir jasa pengiriman dan apotiknya itu bisa kerja sama dgn baik. Jd mudah hubunginnya.. mau nanya paket obat yg blm sampe aja harusssss seribet ini dan nunggunya harus lama. Pdhl antibiotik lho dan hrus di mnum sesuai tgl rutinnya. Tolong kurir yg amanah dlm mngirim paketnya, dan apk ini tlong yg lngkap dong fiturnya mw lacak paket aja bingung hrus tnya siapa. Intinya kcewa. Dan ga akan pke apk ini.",sadness
Suka sekali,happiness
"payah, konsultasi aja kudu bayar 50 ribu, mending ke puskesmas langsung, bayar cuman 2 rebu perak udh sama obatnya",anger
Pelayanan yg sangat bagus,happiness
